证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
670,1,2010/12/31,2.996985,1.649615,1.174985,19.371283,0.185497,0.023018,0.187215,1.562567,0.142034,3
670,1,2011/12/31,2.131704,2.58792,1.423915,88.659984,0.303519,-0.020043,-0.17094,-5.692714,0.054209,2
670,1,2012/12/31,3.492352,3.526225,1.280372,14.023522,0.499674,-0.042469,0.061843,-13.344642,0.013788,1
820,1,2008/12/31,0.224301,-3.551418,11.955768,0.740643,0.36143,-0.085814,-0.326525,0.621569,-0.009981,3
820,1,2009/12/31,0.201361,-2.845415,329.412076,0.154672,0.049414,0.095932,-0.23349,-0.22191,-0.029362,2
820,1,2010/12/31,0.124682,-14.293822,-1.879321,0.270075,0.083574,-0.580436,-0.31192,0.069299,-0.206866,1
2333,1,2010/3/31,8.791671,19.724373,1.138508,0.41425,0.110555,0.155212,0.124719,0.881091,0,1
2336,1,2009/12/31,0.695834,37.811139,3.377374,6.335158,0.882536,0.092195,-0.020499,4.466569,0,1
2356,1,2009/12/31,1.478688,9.408328,1.645994,3.089144,0.211192,-0.007739,-0.162118,-70.193295,0,1
2359,1,2009/12/31,1.146034,10.815336,2.274393,0.725044,0.241576,-0.002316,-0.165838,-8.132012,0,1
2420,1,2010/12/31,1.959793,7.064041,1.480159,1.804678,0.507957,0.065346,0.08218,-8.916446,0,1
2427,1,2010/12/31,7.074963,124.701791,1.109486,4.493147,0.48223,0.060242,0.10101,-3.938439,0,1
2445,1,2010/12/31,3.33187,25.801505,1.285335,5.797474,0.713938,0.076981,0.056758,5.093514,0,1
2450,1,2010/12/31,3.568385,9.737075,1.265464,3.376408,0.556996,0.01232,-0.00107,4.574683,0,1
2477,1,2010/12/31,5.158599,9.213189,1.145047,1.643761,0.090301,0.384925,387.712196,-0.673862,0,1
2499,1,2010/12/31,3.816251,31.697929,1.263801,0.46201,0.118614,0.04301,-0.021324,0.434584,0,1
2501,1,2010/12/31,2.728585,3.939921,1.68678,3.418152,0.424204,0.044901,0.135093,1.133379,0,1
2569,1,2011/12/31,1.819494,61.47335,1.516556,16.17972,0.469262,0.058953,0.084995,-7.623511,0,1
2586,1,2011/12/31,1.405743,9.272162,2.128732,1.7733,0.4425,0.073972,0.060036,-7.213635,0,1
2604,1,2011/12/31,4.555412,7.165322,1.237495,0.836078,0.106165,0.083236,0.045762,0.865574,0,1
2629,1,2011/12/31,2.620043,37.760402,1.471095,1.796056,0.180438,0.049418,0.091742,-0.134243,0,1
2642,1,2011/12/31,3.455095,18.248809,1.31505,0.851055,0.130828,-0.090649,-0.584758,-7.186918,0,1
2680,1,2012/12/31,5.014873,46.526912,1.14878,11.112069,1.160003,0.130046,0.234938,0.788335,0,1
2684,1,2012/6/30,2.359141,5.530601,1.529147,3.88225,0.41073,-0.001497,0.027586,-1.845579,0,1
2692,1,2012/9/30,1.855565,4.822946,1.604781,1.23328,0.124205,0.001953,-0.005344,-0.435858,0,1
2711,1,2013/12/31,1.358521,7.431848,1.629781,0.178138,0.10874,0.169289,0.058995,-3.025619,0,1
2766,1,2015/6/30,1.821902,5.126239,1.553515,0.285017,0.132683,0.072978,0.466739,0.877178,0.348725,1
600003,1,2007/12/31,1.026159,9.205439,1.274106,0.162155,0.074717,0.0663,0.50255,0.410685,-0.058434,3
